stadtplanadresse;standort;plz;laengengrad;breitengrad
Schirwindter Allee 22, 14055 Berlin;Schirwindter Allee ggü. Nr. 22;14055;13,22865;52,50931
Hebbelstr. 13, 10585 Berlin;Schloßstr. Ecke Hebbelstr. Ecke Zillestr.;10585;13,2972;52,51363
Schloßstr. 56, 14059 Berlin;Schloßstr. 56 / Parkplatz;14059;13,2968;52,51603
Soorstr. 2614050 Berlin;Soorstr. 26 Ecke Kaiserdamm Shell-Tankstelle;14050;13,27755;52,50999
Spandauer Damm 152, 14050 Berlin;Spandauer Damm 152 / ggü. Kastanienallee;14050;13,27291;52,51955
Bolivarallee 23, 14050 Berlin;Spandauer Damm Ecke Bolivarallee 23 - 25;14050;13,26248;52,52109
Spandauer Damm 230, 14052 Berlin;Spandauer Damm 230 Nähe Kolonie Wochenend;14052;13,25547;52,52259
Spandauer Damm 217, 14052 Berlin;Spandauer Damm 217 Ecke Meiningenallee;14052;13,25855;52,52179
Suarezstr. 14, 10627 Berlin;Suarezstr. 13 Ecke Pestalozzistraße ggü.Steifensandstr.;10627;13,29562;52,50798
Waldschulallee 2, 14055 Berlin;Waldschulallee 2 / S-Bhf. Messe-Süd;14055;13,26986;52,49827
Warmbrunner Str. 6, 14193 Berlin;Warmbrunner Str. ggü. Nr. 6 / Hubertussportplatz;14193;13,28601;52,4866
Württembergische Str. 5, 10707 Berlin;Württembergische Str. 1 / Am Preußenpark;10707;13,31449;52,49157
Zillestr. 86, 10585 Berlin;Zillestr. Ecke Gierkezeile;10585;13,30355;52,5135
Wiesbadener Str. 53, 14197 Berlin;Mecklenburgische Str. / Wiesbadener Str. 53 vor Edeka;14197;13,30122;52,47397
Betty-Hirsch-Platz, 14199 Berlin;Hundekehleplatz / Hundekehlestr.;14199;13,28254;52,47623
Neue Kantstr. 22;Kuno-Fischer-Straße Ecke Neue Kantstr. 22;14057;13,28906;52,50645
Uhlanstr. 127, 10717 Berlin;Uhlanstr. 127;10717;13,32345;52,49123
