id,publish_up,title,category,zip,city,street,latitude,longitude,address,icon
106824,0000-00-00 00:00:00,Franz-Klühs-Str./ Friedrichstr.,BR Iglus,10969,Franz-Klühs-Str./ Friedrichstr.,,52.500975,13.390763,10969 Berlin Franz-Klühs-Str./ Friedrichstr.,glass_container_enabled.png
106825,0000-00-00 00:00:00,Franz-Künstler-Str. 7,BR Iglus,10969,Franz-Künstler-Str. 7,,52.502168,13.400956,10969 Berlin Franz-Künstler-Str. 7,glass_container_enabled.png
106826,0000-00-00 00:00:00,Gneisenaustr./ Baerwaldstr. (Mittelstreifen),BR Iglus,10961,Gneisenaustr./ Baerwaldstr. (Mittelstreifen),,52.490408,13.400248,10961 Berlin Gneisenaustr./ Baerwaldstr. (Mittelstreifen),glass_container_enabled.png
106827,0000-00-00 00:00:00,Gneisenaustr./ Nostizstr (Mittelstreifen),BR Iglus,10961,Gneisenaustr./ Nostizstr (Mittelstreifen),,52.492264,13.391032,10961 Berlin Gneisenaustr./ Nostizstr (Mittelstreifen),glass_container_enabled.png
106828,0000-00-00 00:00:00,Gneisenaustr./ Schleiermacherstr (Mittelstreifen),BR Iglus,10961,Gneisenaustr./ Schleiermacherstr (Mittelstreifen),,52.490885,13.397847,10961 Berlin Gneisenaustr./ Schleiermacherstr (Mittelstreifen),glass_container_enabled.png
106829,0000-00-00 00:00:00,Görlitzerstr. ggü. 54 / Oppelnerstr.,BR Iglus,10997,Görlitzerstr. ggü. 54 / Oppelnerstr.,,52.497273,13.438241,10997 Berlin Görlitzerstr. ggü. 54 / Oppelnerstr.,glass_container_enabled.png
106830,0000-00-00 00:00:00,Görlitzerstr. ggü. 63 / Lübbenerstr.,BR Iglus,10997,Görlitzerstr. ggü. 63 / Lübbenerstr.,,52.497964,13.436017,10997 Berlin Görlitzerstr. ggü. 63 / Lübbenerstr.,glass_container_enabled.png
106831,0000-00-00 00:00:00,Görlitzer Ufer 5-6,BR Iglus,10999,Görlitzer Ufer 5-6,,52.494618,13.444176,10999 Berlin Görlitzer Ufer 5-6,glass_container_enabled.png
106832,0000-00-00 00:00:00,Grimmstr./ Dieffenbachstr.,BR Iglus,10967,Grimmstr./ Dieffenbachstr.,,52.493316,13.414001,10967 Berlin Grimmstr./ Dieffenbachstr.,glass_container_enabled.png
106833,0000-00-00 00:00:00,Großbeerenstr. ggü. 51,BR Iglus,10965,Großbeerenstr. ggü. 51,,52.491239,13.382593,10965 Berlin Großbeerenstr. ggü. 51,glass_container_enabled.png
106834,0000-00-00 00:00:00,Großbeerenstr. ggü. Nr. 61/ Yorkstr.,BR Iglus,10965,Großbeerenstr. ggü. Nr. 61/ Yorkstr.,,52.493282,13.383293,10965 Berlin Großbeerenstr. ggü. Nr. 61/ Yorkstr.,glass_container_enabled.png
106835,0000-00-00 00:00:00,"Hasenheide 108-114, U-Bhf.",BR Iglus,10967,"Hasenheide 108-114, U-Bhf.",,52.48672,13.422623,"10967 Berlin Hasenheide 108-114, U-Bhf.",glass_container_enabled.png
106836,0000-00-00 00:00:00,Hedemannstr. 31,BR Iglus,10963,Hedemannstr. 31,,52.502463,13.385248,10963 Berlin Hedemannstr. 31,glass_container_enabled.png
106837,0000-00-00 00:00:00,Katzbachstr. ggü. 20,BR Iglus,10965,Katzbachstr. ggü. 20,,52.486887,13.376703,10965 Berlin Katzbachstr. ggü. 20,glass_container_enabled.png
106838,0000-00-00 00:00:00,Kohlfurter Str./ Fraenkelufer,BR Iglus,10999,Kohlfurter Str./ Fraenkelufer,,52.496342,13.41924,10999 Berlin Kohlfurter Str./ Fraenkelufer,glass_container_enabled.png
106839,0000-00-00 00:00:00,Köpenicker Str. 161,BR Iglus,10997,Köpenicker Str. 161,,52.505415,13.432559,10997 Berlin Köpenicker Str. 161,glass_container_enabled.png
106840,0000-00-00 00:00:00,"Köpenicker Str. 187/188, Einm. Pfuelstr.",BR Iglus,10997,"Köpenicker Str. 187/188, Einm. Pfuelstr.",,52.502312,13.439416,"10997 Berlin Köpenicker Str. 187/188, Einm. Pfuelstr.",glass_container_enabled.png
106841,0000-00-00 00:00:00,Kottbusser Damm (Hohenstaufenplatz),BR Iglus,10967,Kottbusser Damm (Hohenstaufenplatz),,52.490969,13.423125,10967 Berlin Kottbusser Damm (Hohenstaufenplatz),glass_container_enabled.png
106842,0000-00-00 00:00:00,Kreuzbergstr./ vor Lidl,BR Iglus,10965,Kreuzbergstr./ vor Lidl,,52.489339,13.374762,10965 Berlin Kreuzbergstr./ vor Lidl,glass_container_enabled.png
